task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,2,[],internal,0
1,1,3,[0],external,2
2,7,1,[],internal,3
3,4,3,"[1, 2]",internal,1
4,3,3,"[2, 0]",external,3
5,2,2,"[0, 1, 3]",external,2
6,4,1,[3],external,2
7,6,4,"[3, 0]",internal,1
8,4,2,"[3, 7, 4]",internal,0
9,7,1,[],internal,0
10,1,5,"[3, 7, 0]",internal,1
11,5,4,[],external,3
12,4,1,"[9, 7, 6]",external,3
13,6,2,[0],external,1
14,6,3,"[13, 1, 8]",external,0
15,1,5,"[1, 8, 0]",internal,2
16,7,3,[],internal,1
17,6,5,"[9, 10, 2]",external,0
18,6,4,[],external,3
19,2,5,[],external,2
20,7,4,"[17, 16, 4]",internal,3
21,4,1,[19],internal,2
22,1,5,"[17, 3]",internal,0
23,1,4,[],internal,1
24,3,1,"[0, 9]",external,2
25,5,2,"[12, 6, 17]",external,2
26,3,4,[16],external,3
27,5,5,[23],external,0
28,2,1,"[9, 1]",external,3
29,2,2,[],external,3
30,3,1,"[25, 5]",internal,1
