task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,4,[],internal,1
1,2,2,[],internal,2
2,5,2,[],external,1
3,1,4,"[0, 2, 1]",internal,2
4,4,4,[2],external,0
5,7,3,"[3, 4, 2]",external,0
6,4,2,[],internal,3
7,7,4,"[2, 5]",external,0
8,7,2,[7],external,3
9,2,3,"[5, 4]",internal,2
10,3,2,[],internal,2
11,5,5,[4],internal,3
12,7,4,[10],external,3
13,3,5,"[10, 9]",internal,2
14,5,4,"[7, 2]",external,1
15,5,5,[7],internal,0
16,5,5,"[13, 4]",internal,3
17,1,5,"[7, 11, 5]",internal,1
18,2,2,"[14, 6]",external,0
19,1,5,"[15, 0]",external,2
20,5,2,[1],external,1
21,6,2,"[8, 14, 16]",external,2
22,6,3,"[3, 4]",external,1
23,6,3,[],external,1
24,4,2,[8],external,2
25,5,3,"[16, 5]",internal,2
26,7,1,[14],internal,3
27,3,4,"[16, 3, 18]",internal,3
28,6,1,[16],internal,0
29,2,2,[],external,3
30,2,2,"[9, 21, 1]",internal,2
