task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,3,[],external,3
1,3,1,[0],external,3
2,6,5,[0],internal,2
3,6,1,"[1, 0, 2]",internal,1
4,6,4,"[1, 2]",internal,0
5,1,1,[],external,3
6,7,5,"[5, 3, 2]",internal,1
7,3,1,"[5, 6, 2]",external,3
8,1,5,"[4, 3, 1]",external,1
9,3,4,[],external,0
10,2,4,"[2, 4, 9]",internal,2
11,5,1,[],internal,2
12,4,5,[],internal,3
13,4,1,"[1, 8]",internal,2
14,1,2,[8],internal,0
15,4,4,"[11, 7, 13]",external,2
16,5,3,"[8, 13]",external,3
17,3,3,[4],external,0
18,5,4,[17],internal,2
19,6,2,"[14, 12, 1]",external,0
20,2,3,"[2, 19]",external,3
21,4,4,"[8, 15, 14]",internal,0
22,4,1,[10],internal,3
23,6,5,"[9, 13, 1]",internal,1
24,3,2,[],external,2
25,6,5,[],internal,2
26,1,1,[],external,1
27,5,5,[],external,1
28,4,2,"[24, 23]",internal,1
29,4,2,[],internal,0
30,6,3,[],external,1
