task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,3,[],external,3
1,7,1,[],external,3
2,2,3,[],external,1
3,5,4,[],external,3
4,7,5,"[3, 0, 2]",internal,0
5,2,5,"[1, 0, 4]",external,0
6,5,3,"[1, 2, 5]",external,1
7,4,4,[],internal,1
8,4,3,[],external,1
9,7,1,[],external,1
10,7,1,"[3, 0]",external,0
11,4,2,[7],external,2
12,4,3,[],internal,2
13,4,2,"[6, 10]",internal,1
14,1,1,"[13, 12, 6]",internal,0
15,5,5,"[7, 11]",internal,3
16,5,5,[14],internal,3
17,5,1,[14],external,2
18,5,2,[],internal,0
19,6,1,"[4, 17]",internal,3
20,3,2,"[3, 11]",external,0
21,3,2,"[13, 6, 14]",external,0
22,1,2,[],external,3
23,3,2,"[22, 20]",internal,0
24,6,3,[],external,0
25,1,1,[],external,1
26,4,5,"[15, 16, 10]",external,3
27,7,4,[18],internal,1
28,2,5,"[5, 19]",internal,2
29,4,2,"[5, 14]",internal,3
30,3,5,[],external,2
31,4,5,[18],external,1
