task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,1,[],internal,1
1,2,1,[],internal,2
2,5,4,[1],internal,0
3,1,5,[1],external,2
4,5,2,[],external,0
5,2,2,"[3, 4]",internal,1
6,3,4,"[3, 5]",internal,0
7,2,1,[],external,2
8,5,3,[],internal,0
9,6,1,[],internal,1
10,3,3,"[8, 7, 1]",internal,1
11,3,2,[4],internal,3
12,6,4,"[8, 3, 4]",external,1
13,3,2,[7],external,1
14,2,5,[11],external,1
15,7,4,"[0, 12, 7]",external,3
16,6,4,"[1, 0, 4]",external,0
17,1,1,[6],internal,2
18,7,3,[],external,3
19,7,4,[],external,2
20,7,2,[],internal,1
21,6,1,"[9, 12, 6]",external,1
22,6,3,[],external,3
23,5,2,[],external,3
24,5,1,"[4, 8]",internal,0
25,5,1,[],external,2
26,6,5,[1],external,2
27,3,2,[16],external,1
28,6,1,"[11, 24]",external,0
29,4,1,"[13, 10, 12]",external,1
30,6,3,[13],internal,2
31,5,1,[3],internal,1
