task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,3,[],internal,2
1,3,3,[0],external,0
2,7,3,[],internal,1
3,5,5,[2],external,2
4,4,5,[],external,1
5,2,3,[],internal,2
6,2,2,"[1, 4, 0]",internal,1
7,1,2,"[4, 3, 1]",external,0
8,6,1,"[1, 2]",external,0
9,2,2,"[2, 6]",internal,2
10,1,4,[],internal,3
11,3,4,"[2, 9, 10]",external,0
12,3,2,[9],external,0
13,5,3,[],external,0
14,6,4,"[4, 11]",external,3
15,2,5,"[9, 13, 1]",external,3
16,3,5,[],external,0
17,7,4,"[14, 2]",external,2
18,6,4,[3],internal,1
19,3,4,[],external,3
20,7,5,"[15, 10, 18]",external,2
21,7,5,"[7, 11, 18]",external,3
22,6,4,"[19, 16, 5]",internal,3
23,4,4,[10],internal,2
24,2,3,[6],external,2
25,4,3,[],external,3
26,4,3,"[23, 15, 20]",internal,3
27,6,3,"[6, 0, 25]",external,1
28,7,2,"[7, 5]",external,2
29,1,1,[],external,2
30,3,1,"[3, 12]",external,1
31,4,1,[2],external,0
