task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,3,1,[],internal,1
1,7,4,[0],external,1
2,5,4,"[0, 1]",internal,1
3,1,4,"[0, 2, 1]",internal,1
4,2,1,"[0, 1]",external,1
5,7,5,[],external,3
6,5,5,"[3, 4]",external,3
7,5,3,[],external,0
8,3,5,"[7, 1, 6]",external,0
9,1,3,"[0, 5]",internal,0
10,4,1,"[4, 6, 1]",internal,1
11,7,1,[],internal,1
12,3,2,"[7, 9]",internal,2
13,4,1,"[6, 2, 7]",external,3
14,1,5,[4],internal,3
15,3,5,[7],internal,1
16,6,4,[],external,3
17,5,3,[],internal,0
18,4,1,[],internal,1
19,4,1,"[18, 2, 9]",external,2
20,2,3,[],external,0
21,4,4,[18],external,1
22,5,3,"[20, 10, 7]",external,3
23,5,1,[],external,0
24,7,1,"[8, 2]",internal,2
25,6,4,[13],external,1
26,4,5,[],internal,1
27,1,5,[5],external,1
28,5,5,[5],internal,1
29,3,5,[],internal,3
