task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,1,[],internal,3
1,7,2,[],external,2
2,6,3,[],external,0
3,6,5,[],external,3
4,7,5,[1],external,3
5,7,1,[2],internal,0
6,6,4,"[3, 2, 0]",internal,2
7,3,4,"[5, 2]",internal,1
8,5,1,[],internal,0
9,4,1,"[3, 4, 6]",external,1
10,4,2,"[3, 9, 6]",internal,1
11,6,5,"[0, 8, 6]",internal,1
12,3,1,"[9, 8, 2]",internal,0
13,2,1,"[10, 1, 12]",external,3
14,4,3,[9],internal,0
15,2,2,"[14, 6, 12]",external,1
16,6,5,[],external,0
17,4,2,"[12, 11, 1]",external,1
18,3,1,"[12, 13, 3]",internal,1
19,6,2,[],internal,0
20,6,3,"[15, 19]",external,1
21,4,3,"[11, 13, 2]",internal,3
22,6,1,[12],external,2
23,6,3,"[4, 10, 19]",external,3
24,4,4,"[8, 11]",internal,0
25,5,2,[18],external,1
26,3,4,"[23, 20]",internal,1
27,1,2,[],internal,3
28,4,5,[],internal,3
29,5,5,[13],external,1
