task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,1,[],external,1
1,2,4,[0],internal,3
2,7,1,[0],external,2
3,6,5,"[2, 0, 1]",external,1
4,3,2,[],internal,3
5,6,5,[4],internal,0
6,6,4,[],internal,2
7,3,2,"[3, 1]",external,0
8,7,5,[],internal,0
9,7,1,"[0, 6, 3]",external,2
10,7,4,"[1, 6]",external,2
11,5,2,[10],internal,2
12,1,3,[],external,2
13,1,2,"[7, 11]",external,2
14,2,4,[11],internal,2
15,5,1,[8],internal,1
16,1,2,"[2, 13, 15]",internal,3
17,4,5,[],external,2
18,3,5,[],external,3
19,7,3,"[13, 14]",internal,2
20,2,3,"[11, 4]",internal,0
21,3,3,"[16, 12]",internal,0
22,1,2,"[15, 21]",internal,1
23,5,2,[],external,2
24,4,1,"[13, 17, 6]",external,0
25,3,1,"[21, 20, 16]",external,0
26,4,5,"[8, 25, 14]",external,2
27,3,3,[],external,3
28,5,5,"[25, 23, 14]",internal,3
29,1,5,"[13, 5, 12]",internal,0
