task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,4,4,[],internal,1
1,7,1,[],external,1
2,2,2,[],internal,1
3,1,4,"[1, 2, 0]",external,3
4,4,4,[],internal,1
5,4,4,"[3, 4, 1]",internal,2
6,4,3,"[5, 4, 0]",internal,1
7,7,2,[6],external,3
8,7,3,"[7, 5, 3]",external,3
9,7,5,"[1, 2, 8]",external,1
10,1,1,"[8, 0, 3]",external,0
11,4,4,"[5, 2]",external,1
12,4,5,"[1, 9]",external,2
13,7,4,"[12, 5, 11]",internal,1
14,7,3,"[3, 0]",external,0
15,4,4,[14],internal,0
16,2,4,"[1, 10, 6]",internal,2
17,4,5,[],internal,0
18,3,3,"[8, 9]",external,2
19,5,4,"[13, 14, 10]",external,2
20,5,5,"[5, 19]",external,2
21,1,3,"[17, 12, 3]",internal,2
22,1,4,[],external,2
23,6,5,[3],external,3
24,7,2,"[3, 22]",external,0
25,5,5,[2],external,2
26,6,4,[],internal,2
27,7,3,"[21, 3]",external,2
28,2,2,[27],external,3
29,4,3,"[0, 11]",external,1
