task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,6,4,[],external,0
1,7,5,[],external,0
2,3,1,[1],external,0
3,3,5,[],external,2
4,7,1,[],internal,0
5,1,3,"[4, 1]",internal,2
6,6,3,"[3, 0]",internal,0
7,1,1,[2],internal,1
8,4,1,[],external,2
9,7,2,[],external,1
10,5,2,[],internal,0
11,4,5,[10],internal,2
12,4,3,"[5, 11, 7]",external,1
13,6,5,[],external,2
14,1,1,[],internal,1
15,4,1,[],external,2
16,6,1,"[10, 15]",internal,0
17,5,5,[15],external,0
18,5,3,"[6, 9]",internal,1
19,3,2,"[9, 10, 1]",internal,0
20,3,1,[],internal,2
21,5,5,[6],internal,1
22,7,5,[],external,1
23,3,1,"[8, 2, 21]",internal,2
24,6,2,[],external,0
