task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,4,3,[],external,2
1,4,2,[0],internal,2
2,6,1,[1],external,1
3,6,3,"[1, 2]",external,1
4,5,5,"[3, 2]",external,2
5,3,1,"[2, 3, 4]",internal,0
6,4,5,"[2, 0, 1]",external,2
7,1,2,"[3, 0, 4]",internal,0
8,4,5,"[2, 7]",internal,0
9,2,4,[],internal,1
10,1,4,"[4, 0, 3]",internal,2
11,5,3,"[5, 3, 0]",external,0
12,3,1,"[6, 11, 8]",internal,1
13,2,1,"[10, 12, 11]",internal,1
14,5,1,"[10, 8, 11]",external,0
15,6,4,"[3, 13]",external,2
16,5,2,[],internal,2
17,1,4,"[12, 10]",internal,2
18,4,2,"[0, 16, 9]",internal,0
19,4,2,[3],external,0
20,3,2,[],external,0
21,7,2,"[4, 7, 2]",internal,0
22,4,5,"[16, 8]",internal,1
23,4,3,[2],internal,2
24,1,1,"[0, 20, 22]",internal,0
