task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,6,2,[],external,2
1,6,2,[0],external,2
2,3,2,[],internal,0
3,7,3,"[2, 1]",internal,1
4,3,1,[3],external,1
5,4,4,[],internal,1
6,4,2,[],external,0
7,3,1,[5],internal,2
8,4,4,[6],internal,2
9,7,1,"[8, 0, 2]",internal,1
10,4,4,[1],internal,1
11,3,1,"[1, 4]",external,2
12,3,2,"[7, 3]",external,0
13,5,2,[9],internal,2
14,2,4,[],external,2
15,6,5,"[3, 8, 0]",external,0
16,7,2,[],external,0
17,5,2,"[4, 14]",external,0
18,7,2,[],external,1
19,4,3,[4],external,1
20,3,3,"[3, 18]",internal,2
21,1,5,[1],internal,0
22,4,3,[],external,2
23,2,5,"[21, 11, 16]",external,0
24,4,1,[],internal,1
