task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,6,2,[],external,2
1,4,3,[],external,2
2,7,3,[0],internal,2
3,5,3,[1],internal,2
4,2,4,[],external,1
5,6,4,[],internal,1
6,5,2,"[1, 2, 5]",internal,0
7,5,1,[],external,1
8,3,2,[6],internal,1
9,2,3,"[3, 6]",internal,0
10,7,2,[8],external,0
11,2,1,[],external,1
12,7,5,"[1, 7]",internal,2
13,7,3,[2],internal,1
14,3,4,[9],internal,1
15,7,5,[5],external,1
16,4,4,"[11, 7]",internal,2
17,6,4,[2],external,0
18,7,5,[],external,2
19,6,4,[],external,0
