task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,2,[],internal,2
1,7,2,[],external,1
2,5,4,"[0, 1]",external,2
3,7,3,[],internal,1
4,3,5,"[2, 1, 3]",external,0
5,2,3,[],external,0
6,5,1,"[2, 0]",internal,1
7,2,2,[],internal,0
8,3,5,[6],internal,1
9,3,1,[],internal,2
10,4,3,"[2, 7, 4]",external,0
11,3,3,"[0, 9]",external,2
12,4,1,[],external,1
13,1,2,[],external,1
14,4,3,[6],internal,0
15,1,3,"[13, 6, 4]",internal,1
16,6,2,[],internal,0
17,6,4,"[13, 10]",external,2
18,4,3,[4],external,2
19,3,5,[],external,2
