task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,2,[],external,2
1,1,4,[],internal,1
2,7,3,"[1, 0]",internal,1
3,5,3,[2],external,0
4,1,4,"[1, 2, 3]",external,0
5,2,3,"[1, 2]",internal,1
6,5,3,[1],external,0
7,3,2,[],external,1
8,6,2,"[0, 3]",internal,2
9,2,2,[1],external,1
10,2,5,"[8, 1, 0]",internal,1
11,2,4,"[7, 0, 3]",internal,0
12,5,3,"[10, 3, 7]",external,1
13,6,3,[],external,2
14,2,2,[8],external,0
15,5,2,"[11, 10, 3]",external,2
16,5,4,"[2, 15, 9]",internal,1
17,7,1,"[5, 12]",internal,2
18,2,4,[],internal,0
19,3,2,[16],external,0
