task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,6,2,[],external,2
1,3,2,[0],external,2
2,1,1,[1],internal,0
3,7,4,[],internal,1
4,7,5,"[2, 3, 1]",external,2
5,6,5,"[0, 1]",external,2
6,2,1,"[5, 3]",external,1
7,3,2,[],internal,2
8,5,5,"[2, 5]",internal,2
9,7,2,"[1, 8]",external,0
10,1,4,"[0, 3, 4]",external,1
11,4,4,"[4, 5]",external,2
12,6,1,"[5, 2, 4]",internal,2
13,6,3,[4],internal,1
14,4,5,"[13, 1, 7]",external,1
15,3,1,[],external,0
16,4,3,[],internal,0
17,3,4,"[8, 11, 3]",external,2
18,1,3,[3],internal,0
19,3,2,[7],external,1
