task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,2,[],external,0
1,4,3,[],external,3
2,7,4,"[1, 0]",internal,1
3,4,5,[1],internal,3
4,2,2,[0],external,3
5,7,5,[2],internal,0
6,6,3,"[5, 3]",internal,0
7,1,2,[1],internal,0
8,5,2,[1],external,1
9,3,5,"[8, 6, 1]",external,2
10,4,5,[5],external,1
11,3,5,"[4, 8, 7]",external,3
12,6,2,"[1, 0, 8]",internal,0
13,3,5,[8],external,3
14,4,2,[3],external,0
15,4,1,"[13, 8]",internal,2
16,4,5,[15],internal,1
17,4,1,[3],external,1
18,5,3,[6],external,0
19,5,1,[0],internal,2
20,4,2,[],internal,0
21,4,2,[5],internal,2
22,5,2,[],external,3
23,2,1,[],external,3
24,5,1,[],internal,1
25,5,2,[11],internal,2
26,1,3,"[19, 13, 12]",internal,0
27,6,1,"[4, 9, 20]",external,2
28,7,4,"[8, 18]",internal,2
29,2,5,"[0, 12]",external,2
30,4,1,"[17, 27, 11]",internal,0
31,4,4,[],internal,2
