task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,3,[],internal,0
1,4,5,[],internal,0
2,4,2,"[0, 1]",internal,3
3,5,2,"[2, 1, 0]",internal,0
4,6,4,[],internal,0
5,3,4,"[0, 3, 2]",external,2
6,7,4,"[4, 1, 3]",internal,1
7,4,1,"[6, 3]",external,3
8,3,2,[],external,1
9,4,5,"[7, 4]",internal,0
10,2,2,"[1, 0]",external,1
11,6,3,"[3, 8]",external,0
12,6,5,[],internal,2
13,3,1,"[8, 1]",internal,3
14,2,5,[],external,3
15,4,2,[],internal,3
16,2,3,[],internal,0
17,6,4,"[0, 4, 8]",internal,3
18,6,3,[8],external,1
19,3,1,"[5, 1, 2]",internal,1
20,7,2,"[0, 10]",internal,1
21,2,1,[11],external,1
22,2,5,[2],external,1
23,1,2,"[5, 1, 6]",internal,1
24,5,3,[21],external,0
25,2,4,"[11, 16, 1]",internal,2
26,4,3,[16],external,0
27,4,3,"[18, 10, 15]",internal,1
28,4,4,"[4, 5]",external,2
29,1,2,[],external,3
30,4,4,"[5, 0, 20]",internal,1
31,2,1,[17],external,1
