task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,3,3,[],external,1
1,7,4,[0],internal,2
2,7,5,[0],external,0
3,5,1,[],external,3
4,1,5,"[3, 1, 0]",internal,1
5,2,5,[4],internal,3
6,1,3,"[0, 3]",internal,0
7,1,5,"[6, 0, 3]",internal,1
8,3,2,[3],external,0
9,7,5,[6],external,1
10,1,3,"[8, 6]",internal,1
11,3,4,[1],internal,1
12,3,2,"[4, 6, 3]",internal,3
13,1,2,[10],internal,0
14,1,2,[5],external,2
15,2,5,"[0, 12]",internal,1
16,3,5,"[3, 12, 8]",external,1
17,1,5,[0],external,3
18,7,1,[],internal,2
19,6,3,[],internal,3
20,2,2,"[9, 15, 8]",internal,3
21,5,1,[3],internal,1
22,7,4,"[17, 11]",internal,0
23,5,4,"[21, 10]",external,1
24,2,2,"[23, 1, 6]",external,3
25,6,3,[15],internal,0
26,6,4,[4],external,0
27,4,2,[8],internal,3
28,2,5,[],external,3
29,3,2,[2],internal,1
30,5,2,"[7, 6]",external,1
31,5,3,"[13, 0]",external,2
