task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,4,4,[],external,0
1,2,1,[0],internal,2
2,4,4,[],external,0
3,2,5,[0],external,0
4,7,3,"[3, 0, 2]",internal,2
5,7,5,[2],external,3
6,3,4,"[1, 0, 2]",external,1
7,2,4,[3],internal,3
8,6,5,[4],external,2
9,1,4,"[5, 6]",internal,1
10,4,1,"[6, 7, 2]",internal,3
11,2,5,"[1, 0]",internal,0
12,5,2,"[6, 3]",external,3
13,1,3,"[0, 4]",external,2
14,6,4,"[13, 8, 11]",external,1
15,1,3,"[2, 4, 6]",external,0
16,4,2,"[2, 14, 0]",external,2
17,7,3,"[0, 11]",external,0
18,4,5,"[11, 8, 0]",external,0
19,6,5,"[17, 0]",internal,2
20,6,1,"[8, 0, 5]",internal,0
21,3,4,"[6, 16]",external,3
22,2,1,"[16, 12, 11]",external,1
23,2,2,[11],internal,0
24,6,5,[],internal,1
25,3,2,"[14, 16]",external,0
26,4,2,"[16, 6]",external,2
27,4,1,[],external,1
28,5,4,"[4, 14, 25]",internal,2
29,6,5,[],external,2
30,3,1,[],external,2
31,6,1,[2],internal,0
