task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,1,[],external,3
1,4,4,[0],internal,1
2,1,4,[],internal,3
3,5,1,"[2, 0, 1]",internal,2
4,3,3,"[3, 2, 0]",external,2
5,4,3,"[4, 0]",internal,2
6,5,4,[],external,2
7,3,1,[1],external,0
8,1,4,[5],external,1
9,6,4,"[1, 4]",external,0
10,4,3,"[4, 7, 2]",internal,2
11,4,3,"[4, 6]",internal,0
12,7,1,[],external,2
13,3,2,"[5, 8, 1]",internal,2
14,2,1,[],external,1
15,7,4,"[10, 1, 14]",external,1
16,4,1,[1],external,1
17,5,2,[],internal,2
18,6,4,[],external,2
19,5,2,"[17, 3]",internal,0
20,6,3,[],external,0
21,6,2,"[17, 12]",external,3
22,7,3,[9],internal,2
23,2,5,[2],internal,0
24,7,4,[],internal,2
25,1,3,[],internal,1
26,2,2,"[14, 22]",external,0
27,2,4,"[24, 23, 17]",internal,3
28,4,4,"[11, 20]",external,1
29,6,1,"[4, 10]",external,3
30,4,5,[],internal,1
31,5,2,"[25, 19, 11]",external,2
