task_id,station,execution_time,ergonomic_value,area_binary
1,0,1673.0,1231.0744974688282,0
2,0,985.0,827.9167081797397,0
3,1,1836.0,1949.26537582242,0
4,0,973.0,1887.80632137092,0
5,1,1700.0,1835.558154398784,0
6,2,2881.0,1544.418581135835,0
7,5,2231.0,1478.0394322117204,0
8,2,1040.0,743.1449171124366,0
9,14,1793.0,1043.1589177253989,0
10,3,1250.0,1195.4770414550458,1
11,5,700.0,761.8218249476836,0
12,16,464.0,995.5200505337524,0
13,3,500.0,520.1234673192404,0
14,3,1133.0,887.1653079832665,0
15,5,577.0,861.7888617730341,0
16,16,483.0,516.7275095409267,0
17,3,880.0,1759.126521044788,0
18,6,667.0,591.9224552353974,0
19,4,600.0,592.8960013156196,0
20,5,233.0,919.4056886609704,0
21,4,408.0,930.1331464610208,0
22,8,847.0,1011.7576630644572,0
23,9,767.0,680.570697775856,0
24,4,850.0,937.4083532689956,1
25,6,780.0,879.1183330934634,0
26,12,912.0,1036.0376907728164,0
27,9,748.0,676.0432009325218,0
28,4,1863.0,1285.2759378649007,0
29,7,714.0,796.5910426541498,0
30,7,1004.0,889.0202475638171,0
31,7,713.0,983.6391697610932,0
32,6,642.0,1110.2217217535615,1
33,6,629.0,829.3863040744844,0
34,17,1234.0,1103.5028240150375,1
35,10,1143.0,1136.1092667506375,0
36,6,1266.0,1114.7050702779093,0
37,13,792.0,781.0478112331058,0
38,8,1251.0,914.1378318327928,0
39,7,1310.0,2218.686426561004,0
40,13,663.0,615.72963351209,0
41,9,494.0,541.8844187576811,0
42,11,1288.0,890.652805331624,0
43,15,792.0,1083.0606477043696,0
44,8,578.0,986.704906003548,0
45,9,594.0,1089.3542561605989,0
46,8,578.0,1589.964834243041,0
47,9,622.0,644.2111510683816,0
48,8,578.0,862.8944393731734,1
49,10,564.0,827.9614562104535,0
50,9,578.0,996.4949557715984,0
51,10,578.0,878.894236121969,1
52,10,578.0,810.780594591685,1
53,10,578.0,913.2169597406393,1
54,11,578.0,981.814368033118,1
55,11,578.0,722.2381880189992,1
56,11,578.0,974.8701272463342,1
57,12,578.0,740.2355832229317,1
58,12,578.0,1174.842291728311,1
59,12,578.0,783.6542217057822,0
60,12,578.0,955.5225683931272,1
61,12,578.0,1077.1304654014018,1
62,13,578.0,808.0786878524733,1
63,13,578.0,1106.8715405207158,1
64,14,578.0,2240.4317917677704,1
65,14,578.0,1629.8554119325015,1
66,14,578.0,1596.578594407668,1
67,15,578.0,1011.9009314024532,1
68,15,578.0,795.8141966498116,1
69,10,467.0,659.1598101007287,1
70,11,887.0,2239.365628858853,1
71,14,396.0,970.7910824408424,1
72,13,1296.0,2486.3776420619897,1
73,15,1100.0,1126.6240341212842,1
74,16,2543.0,1364.9876833366177,1
75,15,764.0,617.1969195509921,1
76,16,357.0,521.5595910621892,1
77,17,701.0,691.6636875821962,1
78,17,1164.0,1490.9149902621748,1
79,17,286.0,439.3434196938414,1
80,18,2100.0,1606.6126729020611,1
81,17,450.0,2008.9053887570549,1
82,18,1300.0,1361.015265790721,0
83,19,3691.0,2182.1298603803466,1
