task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,3,3,[],internal,1
1,3,2,[0],internal,0
2,4,1,"[0, 1]",external,0
3,1,4,"[1, 0, 2]",external,3
4,1,4,[1],external,3
5,7,3,"[3, 4, 1]",external,1
6,5,5,"[0, 2]",internal,3
7,1,2,"[5, 4]",external,0
8,3,1,"[4, 3]",external,1
9,2,4,[8],external,3
10,1,4,[5],internal,3
11,7,4,[4],external,2
12,4,3,[1],internal,1
13,1,5,[],internal,1
14,7,5,[],internal,3
15,7,3,"[14, 12]",external,0
16,1,3,[],external,3
17,4,5,[],external,1
18,1,4,"[15, 16, 9]",internal,2
19,7,2,[],external,2
20,4,3,[13],external,2
21,5,4,"[6, 13, 0]",external,3
22,7,1,"[1, 10, 20]",external,1
23,5,4,"[13, 9, 21]",external,1
24,6,1,"[22, 4]",external,0
25,4,1,[],internal,0
26,1,3,[21],external,3
27,4,5,[1],external,1
28,2,5,[24],internal,0
29,7,5,"[17, 1, 15]",internal,0
30,7,4,"[3, 23, 0]",internal,1
31,4,3,[25],external,2
32,4,2,[],internal,0
33,4,1,[23],external,0
