task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,2,[],external,3
1,1,3,[],external,2
2,6,2,[],external,1
3,5,4,[],external,3
4,2,1,[1],external,0
5,2,5,[2],internal,2
6,7,2,"[2, 1]",external,2
7,7,4,[],internal,0
8,1,3,[2],internal,2
9,3,1,"[0, 6]",internal,0
10,3,3,"[0, 3, 2]",external,0
11,4,1,"[7, 0, 3]",external,0
12,4,2,[7],external,3
13,4,1,"[7, 1, 5]",internal,2
14,7,1,[],external,3
15,2,3,[],external,0
16,2,1,"[5, 9, 4]",internal,1
17,1,4,[7],external,1
18,3,2,"[11, 8, 5]",internal,3
19,3,1,"[7, 5, 0]",external,0
20,2,5,[19],internal,3
21,5,4,[17],internal,2
22,2,3,[],external,0
23,7,1,[],external,0
24,6,3,"[19, 1]",external,1
25,5,1,"[3, 19, 9]",external,0
26,2,4,"[15, 0]",internal,1
27,4,4,[10],internal,1
28,5,3,"[26, 7, 22]",external,2
29,6,1,"[7, 4, 16]",external,0
30,7,3,"[1, 15]",external,1
31,2,2,"[10, 23, 5]",internal,1
32,1,3,[22],internal,3
33,7,3,[],internal,0
