task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,3,2,[],internal,3
1,2,4,[0],external,3
2,5,4,[1],internal,1
3,4,2,"[2, 1, 0]",internal,1
4,4,1,[3],external,2
5,5,5,[4],internal,0
6,5,3,[4],internal,3
7,3,5,[0],internal,1
8,5,2,[],internal,1
9,7,3,[4],external,2
10,3,4,[],internal,2
11,7,2,[4],internal,2
12,1,2,[4],internal,1
13,7,5,[6],external,2
14,2,4,"[10, 3, 4]",external,2
15,4,2,[],internal,2
16,2,5,[3],external,0
17,1,4,[],external,1
18,5,1,"[14, 12]",external,1
19,1,4,[],external,3
20,5,4,[],external,0
21,4,4,"[12, 16]",external,3
22,7,3,"[15, 2, 6]",internal,2
23,3,2,[],internal,1
24,3,4,"[3, 0, 22]",external,1
25,4,2,"[5, 6]",internal,2
26,5,3,"[4, 8]",external,3
27,1,1,"[11, 0, 9]",external,1
28,6,3,[],external,2
29,6,4,"[1, 14]",external,0
30,4,3,[],internal,1
31,2,1,[],internal,3
32,3,5,"[26, 8, 18]",internal,1
33,2,4,"[21, 2]",internal,2
