task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,5,[],external,2
1,3,3,[],internal,1
2,2,2,[],internal,3
3,2,2,"[1, 2, 0]",external,1
4,7,4,[2],internal,3
5,5,1,"[1, 4, 0]",external,0
6,1,3,[2],external,1
7,4,4,[],internal,2
8,4,3,"[1, 7]",external,3
9,5,4,"[0, 4]",internal,1
10,1,1,[],external,0
11,6,4,"[8, 4]",external,3
12,2,5,"[11, 8]",internal,2
13,3,5,[8],internal,0
14,1,3,[11],internal,0
15,6,5,[5],internal,1
16,6,4,"[2, 7]",external,0
17,3,5,"[12, 8, 1]",external,3
18,6,5,[],external,1
19,6,1,"[0, 5]",external,2
20,2,5,"[14, 12, 7]",internal,0
21,4,1,[],external,1
22,7,4,[10],internal,3
23,7,1,"[22, 8, 4]",external,2
24,2,5,"[1, 6, 7]",internal,3
25,6,1,[3],external,2
26,6,2,[],internal,0
27,7,4,"[7, 16, 14]",external,0
28,5,5,[19],external,3
29,3,2,[],internal,1
30,7,1,"[4, 5]",external,1
31,5,5,"[12, 21, 0]",external,0
32,3,5,"[3, 9]",internal,2
33,5,4,"[15, 1]",external,1
