task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,5,4,[],external,0
1,6,5,[],external,3
2,3,3,"[0, 1]",external,3
3,5,4,"[0, 2, 1]",internal,2
4,4,4,[],internal,3
5,5,2,[3],external,3
6,6,5,"[4, 2]",external,0
7,2,1,"[3, 0]",internal,2
8,2,2,[1],internal,0
9,7,5,[],internal,1
10,7,5,"[9, 1]",external,2
11,3,1,[8],internal,2
12,1,2,[10],external,0
13,5,2,[8],external,1
14,5,3,"[4, 1]",internal,1
15,3,1,"[3, 11, 0]",external,3
16,2,4,[13],internal,0
17,5,1,[10],external,2
18,5,3,[],external,0
19,4,2,[],external,3
20,1,4,"[7, 0]",external,2
21,3,5,[14],external,2
22,1,2,[19],external,0
23,2,2,"[16, 9, 7]",external,2
24,5,5,[16],external,2
25,5,4,"[6, 9]",internal,1
26,1,2,[],external,1
27,5,2,"[19, 9, 7]",external,0
28,4,2,[],internal,2
29,7,1,"[9, 6]",internal,2
30,7,4,[29],external,3
31,7,4,[],internal,1
32,4,2,[24],internal,0
33,7,4,"[4, 5]",internal,3
