task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,4,2,[],internal,0
1,1,2,[],external,1
2,2,3,[0],external,3
3,3,5,[],external,3
4,5,3,"[1, 0]",external,0
5,4,4,"[4, 1]",internal,3
6,5,2,[],external,1
7,2,1,"[0, 1, 3]",external,3
8,4,3,[6],external,3
9,3,3,"[0, 7, 6]",external,2
10,7,5,[6],internal,2
11,6,1,"[6, 4]",external,2
12,7,3,[],internal,0
13,3,5,[],external,3
14,5,3,[],internal,3
15,1,5,"[8, 14]",external,0
16,6,3,"[14, 8]",external,2
17,7,1,[14],external,1
18,5,3,[],external,3
19,3,2,"[14, 18]",external,2
20,3,5,[],external,2
21,3,3,[5],internal,3
22,2,3,[7],internal,3
23,2,3,"[8, 7]",internal,2
24,2,5,"[23, 16]",internal,1
25,6,3,[],external,2
26,6,2,[3],external,2
27,5,2,"[24, 3]",external,0
28,4,1,"[27, 1]",external,2
29,6,5,[],internal,3
30,3,4,[23],external,3
31,2,4,[],external,0
32,2,5,"[28, 9, 17]",external,0
33,2,5,[],external,2
