task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,1,[],internal,1
1,7,2,[0],external,3
2,1,4,[],external,3
3,1,4,[],external,1
4,6,3,[3],external,0
5,7,2,"[2, 0, 1]",internal,1
6,2,5,"[0, 1, 4]",external,0
7,2,4,"[4, 0]",external,3
8,3,1,"[3, 2, 1]",external,0
9,2,1,"[4, 7]",external,3
10,4,4,[3],external,0
11,1,3,"[1, 3, 0]",external,3
12,2,2,"[11, 2, 1]",external,3
13,3,1,[],external,0
14,5,3,[0],external,2
15,1,3,[],internal,2
16,6,5,"[13, 12, 3]",internal,1
17,7,3,[],internal,1
18,6,3,[],external,1
19,4,4,"[10, 14]",external,0
20,4,2,"[0, 12, 2]",external,0
21,5,2,"[4, 6]",internal,3
22,6,2,"[0, 12]",external,3
23,2,2,[22],external,0
24,3,5,"[0, 14, 7]",internal,2
25,4,3,"[24, 17]",internal,0
26,1,5,[],external,3
27,3,2,[],external,3
28,7,3,"[19, 12, 7]",external,0
29,7,5,[],internal,2
30,6,5,[],internal,2
31,5,4,[],external,1
32,4,1,[],internal,0
33,3,3,"[6, 9, 8]",internal,3
