task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,5,[],external,0
1,2,4,[],external,1
2,7,2,"[1, 0]",internal,1
3,5,4,[],internal,0
4,4,5,[1],external,1
5,3,1,"[1, 0]",internal,1
6,6,2,"[4, 1]",internal,0
7,7,4,"[3, 1]",external,3
8,7,4,"[2, 6, 0]",external,0
9,1,4,[5],external,3
10,4,5,"[6, 2, 9]",external,2
11,7,2,"[7, 10, 1]",external,1
12,3,2,"[5, 3, 11]",internal,3
13,6,3,"[6, 3]",internal,1
14,1,3,"[1, 13]",internal,0
15,1,5,"[3, 7, 5]",internal,3
16,2,1,[4],internal,3
17,5,5,[2],internal,0
18,3,3,[],internal,1
19,6,5,"[6, 7]",internal,0
20,6,1,[],external,1
21,6,4,[],internal,0
22,1,2,"[14, 11]",internal,2
23,1,5,"[12, 7, 1]",external,0
24,2,4,"[10, 8]",internal,3
25,4,4,"[13, 20]",internal,2
26,7,4,"[11, 6, 20]",internal,3
27,6,1,[7],external,0
28,2,2,[4],internal,3
29,1,2,"[25, 19]",external,3
30,2,5,[],external,1
31,2,2,[],external,1
32,7,2,"[7, 5]",internal,1
33,3,5,"[29, 7]",external,3
