task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,3,[],internal,2
1,2,4,[0],external,2
2,2,5,[],internal,0
3,7,2,[0],internal,1
4,5,1,"[3, 1]",external,0
5,2,2,"[0, 4, 3]",internal,2
6,2,4,"[5, 2, 4]",external,1
7,6,5,"[1, 6, 5]",external,1
8,7,1,"[0, 6]",internal,1
9,5,2,[5],internal,2
10,1,4,[],external,1
11,2,1,[],internal,1
12,1,2,"[11, 7]",internal,1
13,6,3,[8],internal,0
14,4,3,"[13, 1, 7]",internal,1
15,2,4,"[2, 3, 7]",internal,0
16,7,5,"[12, 4]",external,1
17,5,4,"[1, 10, 15]",external,2
18,5,1,"[0, 17, 4]",internal,1
19,4,3,"[13, 18]",internal,0
20,5,5,[],internal,0
21,7,3,"[2, 19]",external,0
22,5,2,[],external,2
23,4,2,"[4, 12, 19]",external,1
24,3,2,"[3, 8, 13]",internal,1
