task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,5,2,[],external,0
1,5,5,[0],external,1
2,4,5,"[1, 0]",external,1
3,7,3,[],internal,1
4,4,1,[3],external,1
5,6,2,[2],internal,1
6,4,1,"[0, 3, 2]",external,2
7,2,5,[4],external,1
8,3,4,"[3, 7]",internal,1
9,3,2,[],external,1
10,7,4,[],external,1
11,4,5,[],internal,0
12,1,5,[8],internal,0
13,3,5,[],internal,2
14,6,3,"[0, 5]",internal,0
15,2,1,"[4, 11, 5]",internal,0
16,2,2,[],external,1
17,7,1,[],internal,1
18,3,3,[],external,1
19,3,4,[1],external,1
20,1,4,"[4, 13, 11]",internal,1
21,1,1,[],external,0
22,2,3,[],internal,1
23,4,5,"[12, 18, 3]",internal,0
24,3,3,[18],internal,1
