task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,3,[],external,2
1,2,2,[],internal,2
2,7,5,"[1, 0]",internal,2
3,4,4,[2],external,1
4,5,2,[1],external,2
5,2,1,"[0, 3, 1]",internal,1
6,6,3,[4],internal,2
7,1,5,"[6, 0]",external,1
8,2,4,[],internal,1
9,2,4,[2],internal,2
10,7,2,[9],external,0
11,4,5,[],external,0
12,6,1,"[0, 8, 3]",internal,0
13,6,3,"[0, 2, 6]",external,2
14,1,1,"[7, 8, 6]",internal,0
15,5,3,"[9, 4]",external,0
16,3,1,[],external,2
17,7,3,"[10, 14, 11]",internal,2
18,5,2,[],external,0
19,7,1,[5],external,1
20,2,3,[],external,1
21,7,2,[],external,2
22,6,5,[10],internal,0
23,3,3,"[10, 21]",internal,1
24,1,3,"[3, 11]",external,1
