task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,1,[],internal,0
1,4,3,[],internal,0
2,3,3,"[0, 1]",external,0
3,2,4,"[0, 1]",internal,0
4,7,2,[],external,1
5,5,1,[],external,0
6,2,4,"[2, 1]",external,1
7,6,5,"[0, 1]",internal,1
8,2,2,"[3, 2]",external,2
9,2,5,[6],external,1
10,2,3,"[9, 2, 4]",external,2
11,1,1,[10],internal,1
12,6,5,[7],internal,0
13,1,5,[12],external,1
14,1,2,[7],internal,0
15,2,3,[],external,2
16,2,1,[2],external,1
17,1,2,[12],internal,1
18,7,1,[],external,2
19,7,2,[3],external,1
20,3,3,"[7, 13]",internal,0
21,2,1,[17],internal,0
22,3,2,[],external,1
23,2,3,[6],external,0
24,6,3,"[5, 15]",external,1
