task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,2,[],internal,0
1,7,4,[],external,2
2,2,2,[],internal,2
3,3,3,"[1, 2]",internal,2
4,5,3,"[1, 2]",internal,2
5,4,5,"[1, 3, 0]",internal,2
6,1,1,"[3, 0, 5]",internal,0
7,7,2,[],external,1
8,3,2,"[5, 6, 0]",external,1
9,3,2,"[4, 6, 5]",external,2
10,1,5,[8],external,2
11,7,1,[0],external,2
12,2,1,"[8, 10]",internal,0
13,2,4,"[2, 1]",external,2
14,2,2,[13],internal,2
15,5,3,[],external,2
16,5,2,"[10, 6, 3]",external,0
17,2,3,"[5, 10]",external,1
18,2,5,[6],external,1
19,5,2,[],external,0
20,6,4,[],external,0
21,1,3,"[12, 4]",internal,1
22,4,1,[],internal,2
23,2,4,"[17, 21]",internal,0
24,4,3,[],internal,0
