task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,1,[],external,1
1,4,4,[0],internal,2
2,1,1,[],internal,2
3,2,2,[],external,0
4,1,5,[],internal,2
5,2,5,"[2, 0, 4]",internal,1
6,3,5,[5],external,2
7,1,4,"[0, 1]",external,2
8,1,3,"[4, 1, 6]",external,0
9,5,3,[],internal,1
10,1,3,[],internal,0
11,7,3,[],external,0
12,5,3,"[6, 3, 0]",external,2
13,7,3,[],internal,0
14,7,5,[4],internal,1
15,7,5,"[13, 8, 2]",external,1
16,5,3,"[4, 13]",internal,1
17,6,1,"[14, 7]",internal,2
18,2,4,[3],external,0
19,6,4,[],internal,1
20,4,5,[],internal,0
21,6,3,"[10, 2, 17]",internal,0
22,5,3,"[7, 11, 4]",internal,0
23,6,2,"[20, 11, 0]",external,2
24,1,5,[],external,1
