task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,5,4,[],internal,2
1,2,4,[],internal,1
2,2,5,[],external,2
3,4,4,[1],internal,2
4,5,4,[1],external,2
5,1,1,"[0, 3]",internal,1
6,3,3,"[1, 2]",external,2
7,5,5,"[3, 5]",external,2
8,6,4,[],external,0
9,3,3,"[7, 0, 2]",external,2
10,3,4,[],external,0
11,6,1,[8],internal,2
12,5,2,[],external,1
13,1,3,"[12, 3, 6]",internal,0
14,2,1,"[13, 7]",internal,2
15,3,4,"[2, 14, 8]",internal,0
16,2,4,[],internal,0
17,5,3,"[12, 2, 0]",external,1
18,5,3,"[16, 2]",internal,2
19,3,1,"[3, 10]",external,1
20,7,5,"[11, 8, 6]",external,2
21,6,3,"[9, 10, 6]",external,1
22,2,4,[14],external,1
23,5,2,"[4, 1, 13]",internal,0
24,4,4,[2],internal,0
