task_id,execution_time,ergonomic_value,predecessors,area,previous_station,area_binary,jain_workload,gini_workload,norm_range_workload,cv_workload,jain_ergonomic,gini_ergonomic,norm_range_ergonomic,cv_ergonomic
0,6,3,[],external,0,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
1,6,4,[],external,0,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
2,6,4,[],external,0,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
3,6,2,"[1, 0]",external,0,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
4,7,2,[3],internal,3,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
5,2,2,[4],external,5,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
6,4,2,"[3, 0]",internal,1,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
7,1,4,[6],external,2,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
8,7,3,[6],internal,2,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
9,7,5,[3],internal,1,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
10,1,4,[],external,0,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
11,6,5,"[3, 1]",external,0,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
12,3,3,"[9, 1, 7]",external,2,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
13,2,3,[6],external,2,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
14,3,5,[4],internal,3,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
15,6,3,"[3, 1, 5]",internal,5,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
16,1,5,[],external,0,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
17,2,5,[],internal,1,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
18,3,5,"[13, 16, 1]",internal,4,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
19,2,4,"[16, 7, 9]",internal,2,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
20,6,5,[2],external,0,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
21,6,4,"[20, 9]",external,2,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
22,2,2,"[0, 10, 12]",external,5,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
23,1,5,[10],external,3,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
24,1,1,[12],external,2,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
25,6,1,"[8, 19, 10]",external,2,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
26,5,5,[4],internal,5,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
27,3,1,[],internal,3,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
28,2,5,[2],internal,5,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
29,4,5,[11],internal,2,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
30,4,4,"[1, 23, 25]",internal,4,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
31,6,4,[20],internal,1,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
32,5,3,[4],external,3,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
33,6,5,[26],external,5,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
34,6,3,[33],internal,5,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
35,6,4,"[24, 14, 30]",external,4,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
36,5,4,"[16, 9]",external,5,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
37,5,3,"[29, 15, 0]",external,5,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
38,6,2,[],external,4,0,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
39,6,4,[],internal,2,1,0.9997296566639632,0.00516795865633075,0.05232558139261087,0.016444343748524364,0.9996089358165909,0.006216006216006216,0.06293706293310186,0.019779210662560772
