task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,3,1,[],internal,0
1,2,2,[],external,0
2,3,1,"[1, 0]",external,1
3,3,5,[],external,2
4,1,3,[0],external,1
5,3,3,[],internal,2
6,5,3,[2],external,1
7,5,2,[3],external,0
8,2,4,"[7, 1, 4]",external,0
9,3,5,[4],external,0
10,7,5,[3],external,0
11,7,4,"[4, 6, 5]",external,1
12,5,4,[1],internal,2
13,7,5,"[1, 9]",internal,2
14,6,4,[],internal,2
15,4,1,[3],external,1
16,6,4,[11],internal,3
17,2,5,"[13, 8, 9]",internal,2
18,3,1,[14],internal,0
19,3,5,"[17, 10, 13]",internal,1
20,5,4,"[10, 9, 3]",internal,0
21,5,5,"[11, 3]",external,2
22,5,1,[3],internal,2
23,4,1,"[8, 1]",external,3
24,2,3,"[15, 16, 6]",external,0
25,7,1,"[16, 1]",internal,0
26,4,5,[0],internal,1
27,5,1,"[24, 5]",internal,0
28,1,2,[],external,1
29,7,3,"[6, 21, 16]",internal,2
