task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,4,2,[],external,0
1,6,4,[0],external,0
2,1,1,[0],external,2
3,6,3,"[1, 0, 2]",internal,0
4,4,2,[3],external,1
5,5,4,"[2, 3]",external,3
6,3,3,[5],external,0
7,6,4,"[1, 5, 2]",internal,1
8,4,4,"[6, 2]",external,0
9,7,5,"[1, 5]",internal,1
10,5,3,[7],external,2
11,3,1,[5],internal,0
12,6,5,"[0, 1]",internal,0
13,4,1,[],external,1
14,2,1,"[3, 7, 10]",internal,1
15,3,2,[],external,1
16,2,3,[],internal,3
17,6,2,"[9, 7, 14]",internal,0
18,5,1,"[1, 4]",external,1
19,4,5,"[11, 16, 7]",external,1
20,3,3,[],external,2
21,2,4,[18],external,3
22,7,4,"[17, 16]",external,1
23,3,2,[],external,0
24,7,2,[7],internal,3
25,2,3,[],internal,3
26,5,2,[10],internal,3
27,5,1,[],internal,2
28,3,2,"[2, 11, 1]",internal,0
29,7,5,"[10, 4]",internal,0
