task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,1,[],internal,1
1,2,1,[],external,0
2,1,5,[1],internal,0
3,5,2,[2],external,1
4,5,3,[2],external,3
5,4,4,"[1, 2, 3]",internal,1
6,4,4,[],external,0
7,2,4,[],internal,0
8,5,1,"[0, 5]",internal,0
9,6,4,"[4, 3]",internal,0
10,7,1,[],internal,1
11,7,5,[],internal,2
12,2,5,"[7, 4]",internal,2
13,1,5,[],internal,1
14,5,4,"[0, 8]",internal,2
15,3,1,"[11, 14]",external,3
16,2,4,[0],internal,2
17,5,1,"[7, 12]",internal,0
18,2,5,"[14, 10]",internal,1
19,6,4,"[15, 4]",internal,3
20,4,5,[6],external,1
21,5,4,"[15, 2]",internal,0
22,1,4,"[19, 12, 11]",external,2
23,5,2,"[4, 20]",internal,3
24,4,3,"[2, 0]",external,1
25,5,5,[12],internal,3
26,4,4,"[20, 15]",internal,1
27,7,4,[],internal,1
28,1,5,[0],external,1
29,4,4,[],external,0
