task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,6,1,[],external,0
1,6,4,[],external,0
2,4,1,"[0, 1]",external,2
3,6,4,[],internal,2
4,2,3,[0],external,1
5,3,2,[],internal,2
6,2,2,"[3, 2]",internal,2
7,4,1,"[5, 0, 6]",external,0
8,1,4,[7],external,2
9,3,1,[],external,2
10,5,3,[7],internal,3
11,4,1,[8],external,0
12,3,3,[6],external,3
13,1,3,"[7, 0]",internal,3
14,2,2,[],internal,3
15,2,1,"[7, 10, 4]",external,0
16,5,1,"[14, 7, 2]",internal,0
17,6,4,"[12, 6]",external,0
18,3,2,"[5, 1]",internal,1
19,7,1,"[10, 13, 18]",external,3
20,3,5,[],external,3
21,7,1,"[1, 13, 0]",internal,1
22,1,2,[7],external,1
23,7,3,"[1, 17, 20]",external,2
24,1,2,"[13, 0, 4]",internal,0
25,6,3,"[17, 16, 11]",external,0
26,3,4,"[11, 3, 20]",external,3
27,2,3,[],internal,1
28,7,5,"[16, 23]",external,1
29,1,5,"[2, 18]",internal,1
30,6,1,[17],external,1
31,6,2,"[23, 10]",internal,0
32,1,1,[],external,1
33,6,1,[],external,1
