task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,6,2,[],external,2
1,3,4,[],external,3
2,5,3,[],internal,3
3,4,4,"[0, 1]",external,3
4,6,2,"[1, 0]",external,2
5,1,5,"[3, 1]",internal,0
6,5,4,[],internal,0
7,3,3,"[4, 0]",internal,0
8,6,4,[],internal,2
9,2,4,"[3, 2]",internal,0
10,2,5,[],external,3
11,4,1,"[8, 4]",internal,3
12,7,5,"[9, 2, 3]",external,3
13,7,2,[],internal,3
14,7,4,"[6, 0]",external,3
15,7,1,[9],internal,0
16,7,3,[11],internal,0
17,4,1,[],internal,0
18,6,4,"[4, 12]",internal,3
19,2,2,"[8, 13]",internal,2
20,7,3,"[0, 8, 3]",internal,3
21,3,1,[18],internal,3
22,2,2,"[20, 10]",external,1
23,2,3,"[22, 8, 10]",internal,0
24,1,5,[],internal,2
25,6,3,"[13, 2, 4]",internal,0
26,6,3,[],internal,2
27,6,2,"[17, 9]",external,1
28,5,2,[],external,1
29,3,1,[],external,2
30,3,3,[],internal,1
31,6,2,[],internal,0
32,3,2,[8],internal,0
33,4,1,[3],internal,2
