task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,3,2,[],internal,1
1,5,4,[],external,4
2,6,3,"[0, 1]",internal,0
3,3,4,[],internal,0
4,2,3,"[2, 0, 1]",external,3
5,7,2,"[1, 4, 3]",internal,4
6,5,2,[],internal,3
7,7,5,"[4, 3, 1]",external,2
8,1,3,"[7, 6, 5]",external,1
9,5,1,"[8, 4, 5]",internal,4
10,1,1,"[7, 5, 0]",external,4
11,3,1,[],internal,4
12,4,3,[5],external,3
13,3,2,[2],external,0
14,2,3,[],internal,2
15,2,3,[0],external,3
16,3,3,"[14, 12]",internal,4
17,5,1,[],external,3
18,4,1,"[5, 13]",internal,0
19,2,2,"[9, 4, 3]",internal,2
20,2,4,[3],internal,0
21,4,3,"[6, 18, 15]",internal,2
22,1,1,[],internal,1
23,6,1,[8],external,3
24,2,4,"[0, 2]",internal,3
25,6,4,[24],external,2
26,3,1,[],internal,3
27,7,1,"[21, 24, 7]",external,4
28,7,1,"[20, 6]",internal,0
29,3,3,[16],external,2
30,4,2,"[25, 9]",external,1
31,3,4,[10],internal,2
32,4,1,[],external,0
33,1,3,[],external,4
34,6,4,"[12, 17]",external,1
