task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,5,[],external,3
1,1,1,[],internal,3
2,3,5,"[0, 1]",internal,3
3,3,3,[1],internal,4
4,3,2,"[2, 3, 0]",internal,0
5,1,4,[],external,1
6,3,2,[],external,2
7,6,4,"[1, 3]",external,0
8,2,3,"[4, 6, 2]",internal,4
9,1,2,"[1, 3]",external,4
10,7,4,"[9, 8, 2]",external,0
11,5,5,[10],internal,1
12,7,2,"[8, 10]",internal,1
13,4,5,"[3, 7, 5]",external,3
14,3,3,[],internal,3
15,6,4,[],external,1
16,3,4,"[7, 15]",external,2
17,2,4,[],external,3
18,1,5,"[13, 5, 8]",external,3
19,5,2,[10],external,0
20,5,5,[],internal,3
21,6,1,[18],external,1
22,3,4,[13],internal,0
23,3,3,"[4, 15]",external,2
24,6,4,[],external,0
25,5,2,"[7, 18]",external,4
26,7,2,[19],internal,2
27,5,5,[],external,2
28,6,3,[],external,1
29,6,4,[2],external,2
30,5,1,"[5, 8, 29]",internal,3
31,4,5,[],external,4
32,1,1,[],external,0
33,1,1,[16],external,4
34,2,5,[],internal,2
