task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,3,[],internal,0
1,5,4,[0],external,4
2,4,5,[],external,0
3,3,5,"[2, 1]",internal,1
4,2,4,[],external,0
5,4,5,[4],external,0
6,6,1,[5],external,2
7,6,1,[],external,0
8,1,4,"[1, 4]",internal,2
9,4,4,"[2, 0, 7]",external,2
10,5,5,[],external,2
11,1,3,[4],external,4
12,7,1,"[4, 5, 9]",internal,3
13,2,3,"[0, 3]",internal,4
14,7,4,[],internal,4
15,7,5,"[5, 9, 2]",external,3
16,1,4,[3],external,2
17,6,3,[16],external,3
18,2,3,"[8, 10]",internal,0
19,6,5,"[5, 7]",internal,4
20,1,3,[],internal,4
21,6,5,[],external,0
22,1,2,"[4, 12]",internal,1
23,7,5,"[1, 19]",internal,0
24,1,3,[],internal,3
25,3,4,[23],internal,2
26,6,1,"[7, 13]",external,3
27,6,3,[],external,4
28,7,1,[1],external,4
29,2,4,[14],external,3
30,3,3,[],internal,2
31,2,3,[],internal,1
32,2,1,[],internal,4
33,5,2,"[8, 4]",internal,2
34,5,2,"[17, 13, 23]",external,1
