task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,4,5,[],internal,4
1,3,1,[0],internal,4
2,1,3,"[0, 1]",external,2
3,1,4,"[1, 2]",external,1
4,4,4,"[0, 3, 2]",external,0
5,1,1,"[0, 3]",external,3
6,3,4,[],external,4
7,5,3,"[5, 4, 3]",internal,3
8,3,3,[7],internal,4
9,5,3,[6],internal,4
10,5,2,[9],internal,0
11,7,2,[],external,2
12,5,5,[],external,0
13,7,3,[9],internal,3
14,7,3,"[10, 4]",external,2
15,1,2,[5],external,1
16,2,4,[2],external,0
17,5,1,[],external,0
18,5,4,[],internal,1
19,6,3,"[2, 15]",internal,2
20,2,2,"[1, 3, 12]",internal,2
21,4,5,"[20, 13]",internal,4
22,7,4,"[17, 20, 3]",external,3
23,5,3,"[19, 9, 1]",external,3
24,3,1,"[19, 12]",external,4
25,6,3,"[17, 19, 1]",external,2
26,5,2,"[18, 3, 19]",internal,2
27,7,2,[15],internal,1
28,3,3,"[23, 0]",external,1
29,2,2,"[0, 12]",external,2
30,3,1,[28],internal,0
31,5,5,"[17, 20]",external,2
32,5,1,"[3, 21, 10]",internal,0
33,2,3,[20],internal,2
34,4,2,[],internal,2
