task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,3,[],internal,3
1,4,2,[0],external,0
2,5,5,"[0, 1]",external,2
3,1,1,"[2, 0, 1]",internal,3
4,1,2,[],external,3
5,4,5,"[1, 0]",external,4
6,6,5,"[3, 4]",external,3
7,7,3,"[4, 5, 2]",internal,2
8,7,5,"[1, 2, 0]",external,1
9,5,3,"[0, 4, 1]",internal,3
10,4,2,"[4, 3]",internal,2
11,4,1,"[0, 1]",internal,1
12,7,1,[11],internal,2
13,1,3,"[9, 10]",external,0
14,7,3,[],internal,3
15,1,3,[2],external,3
16,1,2,[9],external,2
17,6,5,[],internal,0
18,7,3,"[13, 11]",internal,0
19,6,5,[12],internal,2
20,4,5,[],internal,1
21,6,2,"[1, 0, 13]",external,3
22,3,3,[],internal,1
23,4,3,[12],external,4
24,6,3,"[15, 12, 14]",internal,2
25,4,2,"[20, 11, 16]",external,0
26,4,2,[],internal,4
27,1,1,[],internal,3
28,3,4,[],external,1
29,2,1,"[1, 3, 18]",external,0
30,2,1,[],external,3
31,6,2,"[2, 5]",internal,2
32,7,5,[24],external,3
33,4,5,"[16, 28]",internal,1
34,3,5,"[26, 3, 24]",internal,1
