task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,5,[],external,0
1,1,4,[0],external,2
2,4,5,[0],external,1
3,1,2,[],external,1
4,5,3,"[2, 0]",internal,0
5,1,4,[],external,1
6,2,2,"[5, 3, 0]",internal,4
7,7,1,"[1, 6]",external,4
8,3,2,"[6, 0, 3]",external,3
9,4,3,"[0, 6, 4]",external,2
10,4,2,[7],external,2
11,1,4,"[7, 1]",external,3
12,1,1,[],internal,0
13,5,1,[8],internal,1
14,2,4,"[12, 0]",internal,4
15,6,3,[0],internal,1
16,6,1,"[11, 12]",internal,2
17,5,3,[],internal,2
18,2,2,[],internal,4
19,2,3,"[15, 16, 1]",internal,4
20,3,4,"[17, 9, 19]",internal,0
21,6,5,"[2, 16, 15]",external,2
22,6,4,"[14, 20, 16]",internal,3
23,7,3,[21],internal,0
24,5,1,[15],external,0
25,4,1,[],internal,1
26,1,5,"[5, 22]",external,3
27,4,5,[11],external,2
28,2,3,[],internal,2
29,6,4,[],internal,4
30,4,1,"[28, 21, 26]",external,3
31,3,2,[8],internal,3
32,1,5,"[10, 21]",external,4
33,3,2,"[12, 13]",external,4
34,3,3,"[16, 2, 30]",internal,2
