task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,7,2,[],external,2
1,2,5,[],external,3
2,4,4,"[1, 0]",internal,4
3,1,3,[],external,1
4,6,3,"[2, 1, 3]",internal,4
5,1,1,"[3, 1, 0]",external,0
6,7,4,[],internal,3
7,3,2,[4],internal,2
8,4,3,[4],internal,4
9,6,4,[],internal,1
10,7,5,"[1, 5]",internal,2
11,2,1,"[2, 8]",internal,0
12,7,5,"[5, 8]",external,2
13,1,1,[],external,1
14,5,4,"[12, 0, 5]",external,3
15,1,5,[],external,1
16,2,1,[12],internal,0
17,3,2,[4],external,0
18,1,2,[7],external,2
19,4,4,[],internal,3
20,7,3,"[14, 13]",internal,2
21,5,1,[13],internal,2
22,1,1,[],external,1
23,4,3,"[18, 12]",external,4
24,3,4,[22],internal,3
25,1,4,[],external,2
26,4,2,"[16, 15]",external,2
27,3,4,[0],internal,0
28,1,4,[24],internal,2
29,3,5,[],external,2
30,7,3,"[15, 7, 2]",internal,1
31,7,3,"[2, 30]",external,2
32,1,1,"[7, 4, 13]",external,0
33,1,5,"[19, 12, 6]",internal,2
34,6,1,[14],internal,0
