instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,1.0,1.0,0.2941176470588233,5.0,15.0,0.8403361344537793
2,3.0,2.0,0.2602941176470585,5.0,14.0,0.6830065359477107
3,4.0,6.0,0.2929738562091498,9.0,11.0,0.8382352941176447
4,1.0,9.0,0.3284313725490191,3.0,26.0,0.7307189553326687
5,1.0,1.0,0.3137254901960778,3.0,6.0,0.999999999999997
6,1.0,5.0,0.2652894491129782,3.0,13.0,0.7941176470588213
7,1.0,1.0,0.3096405228758165,4.0,11.0,0.999999999999997
8,1.0,1.0,0.3860962566844916,4.0,14.0,0.770053475935828
9,1.0,2.0,0.3212885154061625,4.0,16.0,0.7941176470588217
10,1.0,2.0,0.2823529411764703,4.0,14.0,0.6895424836601289
