instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,1.0,1.0,0.3222222222222225,5.0,11.0,0.6962962962962952
2,1.0,0.0,0.3492063492063491,7.0,9.0,0.8888888888888868
3,1.0,1.0,0.2740740740740742,3.0,14.0,0.8190476190476166
4,1.0,1.0,0.2203703703703705,15.0,13.0,0.9333333333333308
5,0.0,1.0,0.2477777777777775,3.0,26.0,0.6466666666666666
6,1.0,0.0,0.2464285714285716,4.0,6.0,0.9999999999999982
7,1.0,2.0,0.3103174603174605,3.0,8.0,0.6916666666666654
8,1.0,1.0,0.3331481481481484,8.0,13.0,0.7999999999999994
9,1.0,1.0,0.2900000000000001,5.0,10.0,0.696666666666665
10,1.0,3.0,0.3999999999999997,4.0,12.0,0.7999999999999984
