instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,1.0,0.0,0.2449999999999999,6.0,11.0,0.9999999999999954
2,0.0,1.0,0.2624999999999999,4.0,10.0,0.7125000000000016
3,1.0,1.0,0.2817261904761901,7.0,11.0,0.9999999999999992
4,1.0,1.0,0.1644841269841269,4.0,7.0,0.9999999999999984
5,0.0,1.0,0.3347222222222218,4.0,12.0,0.999999999999998
6,1.0,1.0,0.2052777777777777,9.0,16.0,0.949999999999998
7,1.0,1.0,0.1213690476190476,12.0,15.0,0.9500000000000016
8,0.0,1.0,0.2294642857142858,6.0,17.0,0.8226190476190469
9,1.0,1.0,0.1956944444444443,8.0,15.0,0.8499999999999996
10,1.0,1.0,0.1970238095238095,2.0,11.0,0.7714285714285694
