instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,1.0,2.0,0.472222222222222,8.0,9.0,0.8999999999999981
2,1.0,3.0,0.4571428571428564,8.0,10.0,0.9999999999999976
3,1.0,1.0,0.4571428571428564,5.0,10.0,0.8285714285714265
4,1.0,0.0,0.37,4.0,8.0,0.9999999999999984
5,1.0,1.0,0.3800000000000003,13.0,13.0,0.7999999999999998
6,1.0,1.0,0.4095238095238092,5.0,14.0,0.8142857142857135
7,3.0,1.0,0.2785714285714286,11.0,7.0,0.8999999999999984
8,2.0,2.0,0.4023809523809522,8.0,11.0,0.7999999999999994
9,1.0,1.0,0.3600000000000001,5.0,7.0,1.0000000000000009
10,1.0,0.0,0.4025,10.0,13.0,0.7999999999999994
