instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,1.0,1.0,0.3102272727272729,3.0,12.0,0.7113636363636355
2,1.0,5.0,0.3407986111111107,1.0,10.0,0.6921874999999993
3,2.0,1.0,0.3242807539682539,4.0,8.0,0.9999999999999984
4,1.0,2.0,0.3424107142857143,5.0,13.0,0.8499999999999992
5,1.0,1.0,0.3567708333333332,1.0,12.0,0.7242063492063487
6,1.0,6.0,0.2225694444444443,1.0,18.0,0.6208333333333331
7,1.0,1.0,0.2937499999999999,1.0,6.0,0.7734375000000009
8,1.0,1.0,0.3567708333333331,4.0,13.0,0.9999999999999988
9,2.0,1.0,0.2447916666666665,8.0,9.0,0.8749999999999988
10,1.0,1.0,0.2340367965367965,4.0,11.0,0.7167207792207798
