instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,1.0,1.0,0.2673400673400673,3.0,12.0,0.7225589225589232
2,1.0,1.0,0.2393939393939397,4.0,7.0,0.7225589225589214
3,0.0,0.0,0.3774410774410774,7.0,8.0,0.9999999999999972
4,1.0,1.0,0.2415824915824916,4.0,12.0,0.8257575757575745
5,1.0,4.0,0.4502601775329051,10.0,19.0,0.7685950450634288
6,1.0,2.0,0.2482093663911845,4.0,14.0,0.6845730027548229
7,1.0,0.0,0.290633608815427,9.0,11.0,0.9393939393939418
8,1.0,3.0,0.3156565656565653,2.0,12.0,0.7922077922077922
9,1.0,3.0,0.3227513227513227,3.0,19.0,0.7662337662337642
10,1.0,1.0,0.3545454545454544,9.0,14.0,0.884848484848485
