instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,1.0,1.0,0.4408602150537624,8.0,12.0,1.0000000000000029
2,1.0,1.0,0.2738351254480287,15.0,7.0,0.8853046594982101
3,1.0,1.0,0.2806451612903224,7.0,16.0,0.806451612903225
4,1.0,4.0,0.2822580645161289,5.0,12.0,0.9999999999999988
5,1.0,1.0,0.2859703020993344,4.0,13.0,0.8433179795151813
6,1.0,0.0,0.3189964157706091,6.0,17.0,0.8894009216589868
7,1.0,1.0,0.2580645161290322,6.0,14.0,0.7741935483870956
8,1.0,0.0,0.2157706093189965,6.0,15.0,0.7060931899641579
9,1.0,4.0,0.3302611367127498,10.0,11.0,0.9999999999999954
10,1.0,1.0,0.2734254992319508,6.0,18.0,0.8387096774193525
