instance,f1_min,f2_min,f3_min,f1_max,f2_max,f3_max
1,4.0,1.0,0.2825396825396825,20.0,17.0,0.9999999999999988
2,0.0,1.0,0.4000000000000001,5.0,7.0,0.9999999999999988
3,0.0,0.0,0.3222222222222222,5.0,7.0,0.866666666666666
4,1.0,1.0,0.2333333333333333,11.0,10.0,1.000000000000001
5,1.0,2.0,0.3066666666666666,8.0,12.0,0.7333333333333333
6,0.0,1.0,0.2825396825396825,3.0,6.0,0.7523809523809527
7,0.0,1.0,0.2634920634920634,8.0,7.0,0.7714285714285711
8,1.0,2.0,0.3999999999999999,10.0,13.0,1.000000000000001
9,1.0,0.0,0.3333333333333333,13.0,16.0,0.8666666666666677
10,1.0,0.0,0.4333333333333337,5.0,7.0,0.9999999999999996
