task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,4,[],internal,0
1,2,3,[0],internal,0
2,3,4,"[0, 1]",external,3
3,5,3,"[2, 0]",internal,1
4,1,1,"[0, 2, 1]",internal,3
5,1,3,"[2, 1]",internal,0
6,7,3,[1],external,0
7,4,4,"[3, 1]",external,3
8,7,2,"[5, 1]",internal,1
9,1,4,[],internal,2
10,7,3,[],external,1
11,4,1,"[1, 10]",external,3
12,4,4,"[4, 2, 6]",external,0
13,3,1,[],internal,1
14,7,5,"[8, 13, 0]",internal,3
15,3,1,"[12, 3]",external,3
16,3,4,"[5, 15]",external,1
17,4,5,"[9, 12]",internal,2
18,1,3,[5],internal,0
19,3,4,"[12, 15, 1]",external,1
20,4,1,"[4, 5, 14]",external,0
21,1,1,[8],external,0
22,7,4,"[19, 0, 20]",internal,1
23,2,4,[4],internal,2
24,7,5,"[12, 11]",internal,3
25,2,4,[6],external,3
26,3,1,[],external,3
27,5,2,"[24, 1]",external,0
28,7,4,[],external,3
29,2,1,"[25, 13, 8]",external,3
30,2,2,"[28, 27, 3]",internal,1
31,1,3,[],external,3
32,6,4,[3],internal,1
