task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,4,4,[],internal,0
1,7,5,[0],external,1
2,2,1,"[0, 1]",internal,0
3,3,4,"[0, 2]",external,2
4,1,5,[],external,0
5,3,1,[0],internal,2
6,7,3,[0],internal,3
7,1,5,"[3, 2, 4]",external,2
8,1,5,"[1, 6, 5]",internal,2
9,6,3,"[0, 6, 1]",external,2
10,4,2,"[3, 0, 7]",external,0
11,6,3,[6],internal,0
12,5,3,[1],external,3
13,5,2,[],internal,0
14,4,2,"[7, 13]",external,3
15,2,2,[10],internal,1
16,7,5,[],internal,2
17,6,5,[],external,2
18,6,3,"[13, 8, 2]",internal,2
19,5,4,"[14, 15, 6]",internal,2
20,3,1,"[4, 9]",internal,2
21,2,4,[],internal,2
22,3,3,[],external,3
23,1,3,[13],internal,1
24,3,4,[9],external,2
25,2,2,[],external,3
26,3,3,"[12, 9, 17]",external,1
27,5,1,"[14, 13, 5]",external,0
28,3,2,"[7, 24]",external,0
29,7,3,"[8, 3, 19]",internal,3
30,7,1,[],internal,0
31,4,5,"[30, 22]",external,2
32,6,1,"[25, 5, 15]",internal,0
