task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,5,[],external,0
1,7,4,[],external,2
2,5,5,"[0, 1]",external,2
3,4,2,[1],internal,2
4,2,1,[1],external,3
5,6,5,"[3, 2, 1]",external,2
6,4,5,[],external,3
7,3,5,[],internal,2
8,6,5,"[5, 7]",internal,1
9,3,5,[],internal,3
10,5,1,[4],internal,0
11,3,1,"[7, 8, 0]",internal,3
12,2,2,"[7, 9]",internal,2
13,7,3,"[8, 5]",external,3
14,6,5,[11],internal,0
15,5,3,"[8, 1]",external,3
16,7,3,"[3, 14]",external,2
17,2,3,"[6, 8]",internal,3
18,6,5,"[16, 14]",internal,2
19,7,2,[],external,1
20,2,2,[8],internal,3
21,2,5,"[0, 13, 6]",external,1
22,1,2,[],external,0
23,7,3,[],internal,1
24,1,2,[],internal,0
25,2,5,"[16, 13, 7]",internal,2
26,3,3,[],external,2
27,2,4,[],internal,1
28,1,3,[],external,3
29,5,4,"[20, 17]",external,3
30,7,3,[12],internal,2
31,1,2,"[22, 1]",internal,0
32,6,2,"[5, 31]",external,2
