task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,1,2,[],external,3
1,5,3,[0],external,3
2,4,2,"[0, 1]",internal,0
3,5,5,[2],internal,1
4,6,4,"[2, 1]",external,3
5,7,4,"[0, 3, 2]",internal,0
6,3,5,[1],external,0
7,4,4,"[6, 4, 0]",external,3
8,6,1,[],external,1
9,1,5,[],external,3
10,3,1,[],external,1
11,5,2,"[10, 8, 7]",internal,0
12,3,1,"[1, 3]",internal,3
13,7,5,[2],internal,3
14,4,5,[5],internal,3
15,4,3,"[6, 7, 3]",external,3
16,2,1,[6],internal,0
17,5,5,"[5, 4, 8]",external,1
18,4,4,[],internal,0
19,4,5,"[8, 5]",internal,0
20,3,5,[16],external,3
21,4,4,"[9, 0, 13]",internal,0
22,1,2,[],external,2
23,5,4,"[5, 11, 7]",external,3
24,6,3,[],internal,3
25,4,5,"[23, 24, 7]",external,3
26,5,1,"[5, 12]",external,3
27,4,1,[],external,0
28,1,1,[],external,1
29,2,2,[1],external,2
30,4,4,"[21, 6]",external,0
31,7,4,[],internal,3
32,2,1,[],internal,3
