task_id,execution_time,ergonomic_value,predecessors,area,previous_station
0,2,5,[],internal,2
1,2,2,[],external,2
2,1,4,[1],internal,3
3,6,3,[0],external,3
4,4,2,[3],external,1
5,6,3,"[3, 2]",internal,0
6,2,1,"[2, 4]",external,0
7,7,5,"[2, 6, 1]",internal,1
8,6,1,[5],internal,1
9,4,2,"[3, 6]",external,0
10,1,5,"[8, 9, 0]",internal,0
11,3,4,"[2, 4]",internal,1
12,2,4,[0],internal,2
13,1,1,[],internal,3
14,7,1,"[13, 6, 7]",external,0
15,3,1,[7],external,2
16,1,5,"[14, 10, 1]",internal,3
17,1,4,"[7, 13, 6]",external,0
18,6,2,[],internal,2
19,6,3,[],external,3
20,3,1,[],internal,3
21,7,1,[15],external,3
22,7,2,"[4, 10, 0]",external,1
23,7,5,[13],internal,1
24,3,5,[],internal,1
25,7,5,"[4, 2, 14]",internal,3
26,5,5,"[19, 21]",internal,2
27,3,4,[26],internal,3
28,1,1,[15],external,2
29,4,5,[],external,0
30,1,4,[5],internal,3
31,6,4,[26],internal,2
32,3,2,[26],internal,1
